                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6826,                 4.4475,                 2.1341,                0.00129,                 0.0373,                0.00202,                0.00064,                 2.9097,                 4.7134,                 2.6104,                 0.0964,                 0.0004,                 0.0004
                      1,                  2.625,                 4.4468,                 1.9892,                0.00102,                 0.0373,                0.00115,                 0.0004,                 2.4679,                 4.6707,                 2.1791,               0.091896,             0.00089554,             0.00089554
                      2,                 2.1665,                 4.3506,                 1.6539,                0.00058,                0.02257,                0.00131,                0.00063,                 1.9991,                 4.5373,                 1.7123,               0.087386,              0.0013861,              0.0013861
                      3,                 1.7095,                 4.1562,                 1.3284,                0.00037,                0.01752,                0.00033,                 0.0001,                 1.5057,                 4.3299,                  1.291,               0.082872,              0.0018718,              0.0018718
                      4,                 1.5551,                 3.9105,                 1.2501,                0.00091,                0.04336,                0.00071,                0.00018,                 1.4294,                 4.1585,                 1.1731,               0.078352,              0.0023525,              0.0023525
                      5,                 1.4758,                 3.4587,                 1.1729,                0.00407,                0.15467,                0.05218,                 0.0266,                 1.2472,                  3.973,                 1.0704,               0.073828,              0.0028282,              0.0028282
                      6,                 1.3524,                 3.1056,                 1.1291,                0.01357,                0.49574,                0.14434,                0.08118,                  1.369,                 3.6591,                 1.1669,               0.069299,               0.003299,               0.003299
                      7,                 1.3546,                 2.7757,                 1.1339,                0.01675,                0.59995,                0.16989,                0.09921,                 1.2393,                 3.5493,                 1.0719,               0.064765,              0.0037649,              0.0037649
                      8,                 1.3717,                 2.4785,                 1.1368,                0.02168,                0.72165,                0.21591,                 0.1175,                 1.4155,                 3.4588,                 1.2194,               0.060226,              0.0042258,              0.0042258
                      9,                 1.4051,                 2.2856,                 1.1632,                0.02638,                0.87523,                0.25686,                0.15761,                 1.2633,                 3.3533,                 1.1419,               0.055682,              0.0046817,              0.0046817
                     10,                 1.3148,                 2.3133,                  1.215,                 0.0278,                0.96462,                0.29548,                0.18941,                  1.224,                 3.2709,                 1.0795,               0.051133,              0.0051327,              0.0051327
                     11,                  1.302,                  2.121,                 1.1414,                0.02575,                0.92222,                0.36687,                0.20478,                 1.2189,                 3.3096,                 1.0293,               0.046579,              0.0055787,              0.0055787
                     12,                 1.3796,                 1.9856,                  1.169,                0.02625,                0.95494,                0.43984,                 0.2638,                 1.2132,                 3.1597,                 1.0313,                0.04202,              0.0060198,              0.0060198
